Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
OR2J4P	442188	1
OR2G1P	26717	1
OR2U1P	26695	1
OR2U2P	26694	1
OR14J1	442191	1
DDX6P1	442192	1
OR5V1	81696	1
OR12D3	81797	1
OR12D2	26529	1
OR12D1	26530	1
OR11A1	26531	1
OR10C1	442194	1
OR2H1	26716	1
UBDP1	100286971	1
MAS1LP1	646366	1
MAS1L	116511	1
RPS17P1	442195	1
LINC02829	105375009	1
LINC01015	100507362	1
GPR53P	9292	1
OR2I1P	442197	1
UBD	10537	1
GABBR1	2550	1
OR2H5P	26713	1
TMEM183AP1	100048909	1
SNORD32B	692092	1
RPL13AP	387043	1
OR2H2	7932	1
SUMO2P1	285829	1
MOG	4340	1
ZFP57	346171	1
ZDHHC20P1	100048907	1
HLA-F	3134	1
HLA-F-AS1	285830	1
RPL23AP1	6148	1
MICE	4280	1
IFITM4P	340198	1
HLA-V	352962	1
HCG4	54435	1
HLA-P	352963	1
RPL7AP7	353013	1
MICG	352967	1
HLA-G	3135	1
HCG4P8	353005	1
HLA-H	3136	1
HLA-T	352964	1
DDX39BP1	100048904	1
MCCD1P1	100048903	1
HCG4B	80868	1
HLA-K	3138	1
HLA-U	352965	1
HLA-A	3105	1
HLA-W	352966	1
MICD	4279	1
HCG9	10255	1
DDX39BP2	100048923	1
MCCD1P2	100048924	1
ZNRD1ASP	80862	1
HLA-J	3137	1
ETF1P1	6824	1
ZNRD1	30834	1
PPP1R11	6992	1
RNF39	80352	1
TRIM31	11074	1
TRIM31-AS1	104533120	1
TRIM40	135644	1
TRIM10	10107	1
TRIM15	89870	1
TRIM26	7726	1
PAIP1P1	100421582	1
HCG17	414778	1
TRIM26BP	404024	1
HLA-L	3139	1
HCG18	414777	1
TRIM39	56658	1
TRIM39-RPP21	202658	1
RPP21	79897	1
HLA-N	267014	1
UBQLN1P1	387117	1
MICC	100129192	1
TMPOP1	100129772	1
SUCLA2P1	646520	1
RANP1	221547	1
HLA-E	3133	1
LINC02569	111082993	1
GNL1	2794	1
PRR3	80742	1
ABCF1	23	1
MIR877	100126314	1
PPP1R10	5514	1
MRPS18B	28973	1
ATAT1	79969	1
PTMAP1	5758	1
C6orf136	221545	1
DHX16	8449	1
PPP1R18	170954	1
NRM	11270	1
RPL7P4	100133037	1
MDC1	9656	1
MDC1-AS1	106478956	1
TUBB	203068	1
FLOT1	10211	1
IER3-AS1	105379695	1
IER3	8870	1
HCG20	105375013	1
RN7SL353P	106481020	1
LINC00243	401247	1
LINC02570	105375014	1
RN7SKP186	106480692	1
DDR1-DT	414771	1
DDR1	780	1
MIR4640	100616237	1
GTF2H4	2968	1
VARS2	57176	1
SFTA2	389376	1
MUCL3	135656	1
HCG21	102723346	1
NAPGP2	100422429	1
MUC21	394263	1
MUC22	100507679	1
HCG22	285834	1
RNU6-1133P	106481537	1
C6orf15	29113	1
PSORS1C1	170679	1
CDSN	1041	1
PSORS1C2	170680	1
POLR2LP1	493825	1
CCHCR1	54535	1
TCF19	6941	1
POU5F1	5460	1
PSORS1C3	100130889	1
HCG27	253018	1
HLA-C	3107	1
HLA-B	3106	1
USP8P1	100287272	1
RPL3P2	116935	1
WASF5P	387122	1
LINC02571	105375015	1
MIR6891	102465537	1
DHFRP2	729816	1
RNU6-283P	106479692	1
FGFR3P1	100462812	1
ZDHHC20P2	100048908	1
HLA-S	267015	1
MICA	100507436	1
LINC01149	101929111	1
HCP5	10866	1
